name,city,county,county_median_price,severity_index,beds,operator_name
Ivy Terrace at Fullerton,Fullerton,Riverside,5200,0.20833333333333334,72,Welltower Tenant Group Llc;oakmont Mgmt Group Llc
Ivy Park at Cathedral Hill,San Francisco,San Francisco,8200,0.20476190476190476,210,Coventry Subtenant Lp;oakmont Management Group Llc
Alta Vista Senior Living,Vista,San Diego,6200,0.20408163265306123,98,Pacifica Regency Palms Llc; Alta Vista Mgr Llc
Merrill Gardens at Gilroy,Gilroy,Santa Clara,7500,0.20093457943925233,214,"Mg at Gilroy, Lp ; Shi-iv Merrill Gp, Llc ; Merril"
Brookdale North Fremont,Fremont,Contra Costa,6800,0.2,40,Summerville at Atherton Court Llc
Aegis Living Pleasant Hill,Pleasant Hill,Contra Costa,6800,0.2,90,Oak Park Blvd Pleasant Hill Llc; Aegis Senior Et a
Brookdale Garden Grove,Garden Grove,Riverside,5200,0.2,140,Summerville at Cobbco Inc; Emeritus Corporation
Summerfield of Encinitas,Encinitas,San Diego,6200,0.19642857142857142,56,"Snh Cal Tenant Llc; Northstar Senior Living, Inc."
Ivy Park at Cerritos,Cerritos,Los Angeles,5800,0.19631901840490798,163,Cerritos Subtenant Lp;oakmont Mgmt. Group Llc
Sunol Creek Memory Care,Pleasanton,Contra Costa,6800,0.1956521739130435,46,Pri Sunol Llc; Agemark Management Llc
"Sea Bluffs, the",Dana Point,Orange,6000,0.19318181818181818,88,Well Oak Tenant Llc;oakmont Management Group Llc
"Watermark at Rosewood Gardens, the",Livermore,Contra Costa,6800,0.19130434782608696,115,"Watermark Livermore Llc; Watermark Rtmt Comm, Llc"
Cottages at Palm Springs,Palm Springs,Riverside,5200,0.18947368421052632,95,Pacifica Sl Palm Springs Llc;palm Springs Mgr Llc
Fremont Hills,Fremont,Contra Costa,6800,0.18571428571428572,140,Fremont Hills Sr Housing; Atsc Ii Llc
Belmont Village Sabre Springs,San Diego,San Diego,6200,0.18478260869565216,184,Belmont Village Sabre Spr Tnnt & Lp; Belmont Three
Silverado Senior Living-sierra Vista,Azusa,Los Angeles,5800,0.1839080459770115,87,Silverado Sierra Vista Llc; Silverado Sr Lvng Mgmt
